#név ; ország ; osztály ; tömeg ; fegyverzet

#Tátra

#Vladivostok

#//
#super Yamato

HMAS Sydney ; Ausztrália ; Majestic osztályú repülőgép-hordozó ; 15740 ; 30 × Bofors 40 mm ágyú (18 egyszeres rögzítésű, 6 dupla rögzítésű)

São Paulo ; Brazília ; 	Clemenceau osztályú repülőgép-hordozó ; 32800 ; 4 x 100 mm torony,2 x SACP Crotale EDIR rendszer, 5 x 12.7 mm géppuskák,4 x dupla Simbad rakétaindító állvány

HMS Warrior (R31) ; Egyesült Királyság ; Colossus osztályú repülőgép-hordozó ; 18300 ; 4 × dupla 40 mm Bofors ágyú,20 × egyszeres 40 mm Bofors ágyú

JS Izumo ; Japán ; Izumo osztályú repülőgép-hordozó ; 19950 ; 2 × Phalanx CIWS,2 × SeaRAM CIWS,7 ASW helikopter,2 SAR helikopter,28 repülőgép maximum

Ryūhō ; Japán ; könnyű repülőgép-hordozó ; 16700 ; 4 × dupla 12.7 cm kettős célú ágyú,23 × egyszeres 25 mm légvédelmi ágyú,6 × egyszeres 13 mm légvédelmi ágyú,6 mélységi töltet,6 × 12 cm rakéta vető

Kiev ; Szovjetúnió ; Kiev osztályú repülőgép-hordozó ; 30530 ; 4 × dupla SS-N-12 Sandbox SSM kilövő (8 rakéta),2 × dupla SA-N-3 Shtorm SAM kilövő (72 rakéta),2 × dupla SA-N-4 Gecko SAM kilövő (40 rakéta),2 × dupla 76 mm ágyú,8 × AK-630 30 mm CIWS,10 × 533 mm torpedó cső,1 × dupla SUW-N-1 ASW rakéta kilövő (16 nukleáris rakéta),2 × RBU-6000 tengeralattjáró-ellenes rakéta kilövő

HMS Vanguard (S28) ; Egyesült Királyság ; Vanguard osztályú tengeralattjáró ; 15900 ; 4 × 21-inch (533 mm) torpedó cső Spearfish nehézsúlyú torpedók számára,16 × ballisztikus rakéta cső Lockheed Trident II D5 SLBMs nuklráris robbanófejekkel

HMS Vengeance (S31) ; Egyesült Királyság ; Vanguard osztályú tengeralattjáró ; 15900 ; 4 × 21-inch (533 mm) torpedó cső Spearfish nehézsúlyú torpedók számára,16 × ballisztikus rakéta cső Lockheed Trident II D5 SLBMs nuklráris robbanófejekkel

USS Michigan (SSGN-727) ; USA ; Ohio osztályú tengeralattjáró ; 16764 ; 4 × 21 inch (533 mm) torpedó cső,154 × BGM-109 Tomahawks 22 hétfős csoportban

USS Ohio (SSGN-726) ; USA ; Ohio osztályú tengeralattjáró ; 16764 ; 4 × 21 inch (533 mm) íjtorpedó cső,24 × Trident II C4 SLBM, egyenként akár 8 MIRVed W76 nukleáris robbanófejjel

USS Los Angeles (SSN-688) ; USA ; Los Angeles osztályú tengeralattjáró ; 5700 ; 4 × 21 inch (533 mm) íjcső,Mark 48 torpedó,Harpoon rakéta,Tomahawk cirkáló rakéta

USS Philadelphia (SSN-690) ; USA ; Los Angeles osztályú tengeralattjáró ; 6075 ; 4 × 21 inch (533 mm) íjcső,BGM-109 Tomahawk,Mark 48 torpedó

USS Omaha (SSN-692) ; USA ; Los Angeles osztályú tengeralattjáró ; 6071 ; 4 × 21 in (533 mm) íjtorpedó cső

SMS Huszár ; Osztrák-Magyar Monarchia ; Huszár osztályú romboló ; 390 ; 1 × egyszeres 66 mm (2.6 inch) ágyú,7 × egyszeres 47 mm (1.9 inch) ágyú,2 × egyszeres 45 cm (17.7 inch) torpedó cső

SMS Warasdiner ; Osztrák-Magyar Monarchia ; Huszár osztályú romboló ; 389 ; 6 × 66 mm (2.6 inch) ágyú,4 × 45 cm (18 inch) torpedó cső

SMS Turul ; Osztrák-Magyar Monarchia ; Huszár osztályú romboló ; 390 ; 1 × egyszeres 66 mm (2.6 inch) ágyú,7 × egyszeres 47 mm (1.9 inch) ágyú,2 × egyszeres 45 cm (17.7 inch) torpedó cső



